Warehouse,Country,Region/State,Zip/Postal Code,Weight (and above),Method,Shipping Price
0,USA,CO,,144,1,0
0,USA,CT,,1,1,9.99
0,USA,CT,,2,1,9.99
0,USA,CT,,3,1,9.99
0,USA,CT,,4,1,9.99
0,USA,CT,,5,1,9.99
0,USA,CT,,6,1,9.99
0,USA,CT,,7,1,9.99
0,USA,CT,,8,1,9.99
0,USA,CT,,9,1,9.99
0,USA,CT,,10,1,9.99
0,USA,CT,,11,1,9.99
0,USA,CT,,12,1,9.99
0,USA,CT,,13,1,9.99
0,USA,CT,,14,1,9.99
0,USA,CT,,15,1,9.99
0,USA,CT,,16,1,9.99
0,USA,CT,,17,1,9.99
0,USA,CT,,18,1,9.99
0,USA,CT,,19,1,9.99
0,USA,CT,,20,1,9.99
0,USA,CT,,21,1,9.99
0,USA,CT,,22,1,9.99
0,USA,CT,,23,1,9.99
0,USA,CT,,24,1,0
0,USA,CT,,25,1,0
0,USA,CT,,26,1,0
0,USA,CT,,27,1,0
0,USA,CT,,28,1,0
0,USA,CT,,29,1,0
0,USA,CT,,30,1,0
0,USA,CT,,31,1,0
0,USA,CT,,32,1,0
0,USA,CT,,33,1,0
0,USA,CT,,34,1,0
0,USA,CT,,35,1,0
0,USA,CT,,36,1,0
0,USA,CT,,37,1,0
0,USA,CT,,38,1,0
0,USA,CT,,39,1,0
0,USA,CT,,40,1,0
0,USA,CT,,41,1,0
0,USA,CT,,42,1,0
0,USA,CT,,43,1,0
0,USA,CT,,44,1,0
0,USA,CT,,45,1,0
0,USA,CT,,46,1,0
0,USA,CT,,47,1,0
0,USA,CT,,48,1,0
0,USA,CT,,49,1,0
0,USA,CT,,50,1,0
0,USA,CT,,51,1,0
0,USA,CT,,52,1,0
0,USA,CT,,53,1,0
0,USA,CT,,54,1,0
0,USA,CT,,55,1,0
0,USA,CT,,56,1,0
0,USA,CT,,57,1,0
0,USA,CT,,58,1,0
0,USA,CT,,59,1,0
0,USA,CT,,60,1,0
0,USA,CT,,61,1,0
0,USA,CT,,62,1,0
0,USA,CT,,63,1,0
0,USA,CT,,64,1,0
0,USA,CT,,65,1,0
0,USA,CT,,66,1,0
0,USA,CT,,67,1,0
0,USA,CT,,68,1,0
0,USA,CT,,69,1,0
0,USA,CT,,70,1,0
0,USA,CT,,71,1,0
0,USA,CT,,72,1,0
0,USA,CT,,73,1,0
0,USA,CT,,74,1,0
0,USA,CT,,75,1,0
0,USA,CT,,76,1,0
0,USA,CT,,77,1,0
0,USA,CT,,78,1,0
0,USA,CT,,79,1,0
0,USA,CT,,80,1,0
0,USA,CT,,81,1,0
0,USA,CT,,82,1,0
0,USA,CT,,83,1,0
0,USA,CT,,84,1,0
0,USA,CT,,85,1,0
0,USA,CT,,86,1,0
0,USA,CT,,87,1,0
0,USA,CT,,88,1,0
0,USA,CT,,89,1,0
0,USA,CT,,90,1,0
0,USA,CT,,91,1,0
0,USA,CT,,92,1,0
0,USA,CT,,93,1,0
0,USA,CT,,94,1,0
0,USA,CT,,95,1,0
0,USA,CT,,96,1,0
0,USA,CT,,97,1,0
0,USA,CT,,98,1,0
0,USA,CT,,99,1,0
0,USA,CT,,100,1,0
0,USA,CT,,101,1,0
0,USA,CT,,102,1,0
0,USA,CT,,103,1,0
0,USA,CT,,104,1,0
0,USA,CT,,105,1,0
0,USA,CT,,106,1,0
0,USA,CT,,107,1,0
0,USA,CT,,108,1,0
0,USA,CT,,109,1,0
0,USA,CT,,110,1,0
0,USA,CT,,111,1,0
0,USA,CT,,112,1,0
0,USA,CT,,113,1,0
0,USA,CT,,114,1,0
0,USA,CT,,115,1,0
0,USA,CT,,116,1,0
0,USA,CT,,117,1,0
0,USA,CT,,118,1,0
0,USA,CT,,119,1,0
0,USA,CT,,120,1,0
0,USA,CT,,121,1,0
0,USA,CT,,122,1,0
0,USA,CT,,123,1,0
0,USA,CT,,124,1,0
0,USA,CT,,125,1,0
0,USA,CT,,126,1,0
0,USA,CT,,127,1,0
0,USA,CT,,128,1,0
0,USA,CT,,129,1,0
0,USA,CT,,130,1,0
0,USA,CT,,131,1,0
0,USA,CT,,132,1,0
0,USA,CT,,133,1,0
0,USA,CT,,134,1,0
0,USA,CT,,135,1,0
0,USA,CT,,136,1,0
0,USA,CT,,137,1,0
0,USA,CT,,138,1,0
0,USA,CT,,139,1,0
0,USA,CT,,140,1,0
0,USA,CT,,141,1,0
0,USA,CT,,142,1,0
0,USA,CT,,143,1,0
0,USA,CT,,144,1,0
0,USA,DC,,1,1,9.99
0,USA,DC,,2,1,9.99
0,USA,DC,,3,1,9.99
0,USA,DC,,4,1,9.99
0,USA,DC,,5,1,9.99
0,USA,DC,,6,1,9.99
0,USA,DC,,7,1,9.99
0,USA,DC,,8,1,9.99
0,USA,DC,,9,1,9.99
0,USA,DC,,10,1,9.99
0,USA,DC,,11,1,9.99
0,USA,DC,,12,1,9.99
0,USA,DC,,13,1,9.99
0,USA,DC,,14,1,9.99
0,USA,DC,,15,1,9.99
0,USA,DC,,16,1,9.99
0,USA,DC,,17,1,9.99
0,USA,DC,,18,1,9.99
0,USA,DC,,19,1,9.99
0,USA,DC,,20,1,9.99
0,USA,DC,,21,1,9.99
0,USA,DC,,22,1,9.99
0,USA,DC,,23,1,9.99
0,USA,DC,,24,1,0
0,USA,DC,,25,1,0
0,USA,DC,,26,1,0
0,USA,DC,,27,1,0
0,USA,DC,,28,1,0
0,USA,DC,,29,1,0
0,USA,DC,,30,1,0
0,USA,DC,,31,1,0
0,USA,DC,,32,1,0
0,USA,DC,,33,1,0
0,USA,DC,,34,1,0
0,USA,DC,,35,1,0
0,USA,DC,,36,1,0
0,USA,DC,,37,1,0
0,USA,DC,,38,1,0
0,USA,DC,,39,1,0
0,USA,DC,,40,1,0
0,USA,DC,,41,1,0
0,USA,DC,,42,1,0
0,USA,DC,,43,1,0
0,USA,DC,,44,1,0
0,USA,DC,,45,1,0
0,USA,DC,,46,1,0
0,USA,DC,,47,1,0
0,USA,DC,,48,1,0
0,USA,DC,,49,1,0
0,USA,DC,,50,1,0
0,USA,DC,,51,1,0
0,USA,DC,,52,1,0
0,USA,DC,,53,1,0
0,USA,DC,,54,1,0
0,USA,DC,,55,1,0
0,USA,DC,,56,1,0
0,USA,DC,,57,1,0
0,USA,DC,,58,1,0
0,USA,DC,,59,1,0
0,USA,DC,,60,1,0
0,USA,DC,,61,1,0
0,USA,DC,,62,1,0
0,USA,DC,,63,1,0
0,USA,DC,,64,1,0
0,USA,DC,,65,1,0
